cliente_id,idade,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,contatos_suporte,avaliacao_conteudo,metodo_pagamento,dispositivo_principal,churn
CLI00349,33,46,Básico,19.90,99,168,8,3.7,Boleto,Mobile,0
CLI00350,37,54,Básico,19.90,98,62,5,3.6,Credito,mobile,1
CLI00351,28,14,basico,19.90,96,49,0,1.6,"Cartão de Crédito",mobile,0
CLI00352,57,36,Básico,19.90,3,68,8,4.1,Débito,Mobile,1
CLI00353,37,34,Premium,39.90,20,142,5,0.6,Credito,TV,0
CLI00354,65,52,basico,19.90,95,113,7,2.0,Boleto,TV,0
CLI00355,75,37,basico,19.90,86,103,0,1.0,Boleto,TV,0
CLI00356,69,32,Premium,39.90,77,26,4,0.9,Credito,mobile,1
CLI00357,38,54,Básico,19.90,45,126,3,1.7,Boleto,mobile,0
CLI00358,37,20,Premium,39.90,94,152,9,2.3,,Mobile,0
CLI00359,74,17,basico,19.90,42,75,8,0.3,Credito,Tablet,1
CLI00360,57,45,Básico,19.90,69,167,0,4.8,Débito,Desktop,0
CLI00361,31,12,Premium,39.90,67,167,4,0.1,,tv,0
CLI00362,72,52,basico,19.90,87,30,2,0.8,Credito,Desktop,1
CLI00363,67,41,Padrão,29.90,53,131,8,0.4,Débito,TV,0
CLI00364,20,18,Premium,39.90,0,142,6,4.0,PIX,Mobile,0
CLI00365,27,40,Padrão,29.90,17,20,7,3.8,Credito,tv,0
CLI00366,28,57,PREMIUM,39.90,6,168,4,0.4,"Cartão de Crédito",Tablet,1
CLI00367,69,5,Básico,19.90,63,181,6,0.3,Débito,mobile,1
CLI00368,56,15,Padrão,29.90,57,179,0,2.0,"Cartão de Crédito",Mobile,1
CLI00369,47,14,Padrão,29.90,53,26,4,1.2,PIX,TV,0
CLI00370,61,41,Premium,39.90,7,145,7,3.3,Credito,mobile,1
CLI00371,32,54,Básico,19.90,71,32,7,2.5,Débito,Desktop,0
CLI00372,41,31,basico,19.90,52,170,7,4.2,Boleto,mobile,1
CLI00373,38,57,Padrão,29.90,68,53,9,2.2,,tv,0
CLI00374,53,58,PREMIUM,39.90,19,175,9,1.4,Boleto,Tablet,0
CLI00375,28,48,Padrão,29.90,15,169,3,3.5,Débito,Tablet,1
CLI00376,52,10,Padrão,29.90,62,185,9,1.7,"Cartão de Crédito",Desktop,1
CLI00377,25,42,Padrão,29.90,85,148,5,5.0,Boleto,Desktop,0
CLI00378,44,46,Premium,39.90,19,87,2,2.8,Credito,Mobile,1
CLI00379,40,60,basico,19.90,46,55,9,3.9,"Cartão de Crédito",Desktop,0
CLI00380,39,22,basico,19.90,97,134,2,3.1,"Cartão de Crédito",Tablet,0
CLI00381,65,20,Padrão,29.90,47,81,8,1.5,,mobile,1
CLI00382,33,19,PREMIUM,39.90,24,172,1,2.5,Credito,mobile,0
CLI00383,20,17,Premium,39.90,51,33,3,2.0,PIX,mobile,0
CLI00384,36,31,Básico,19.90,59,178,4,3.5,Débito,Tablet,0
CLI00385,37,23,Padrão,29.90,91,39,5,3.9,Boleto,mobile,0
CLI00386,57,36,Padrão,29.90,34,152,9,3.9,PIX,Desktop,0
CLI00387,66,19,PREMIUM,39.90,31,130,1,0.6,"Cartão de Crédito",TV,0
CLI00388,,NaN,Básico,,75,54,,2.4,"Cartão de Crédito",Desktop,0
CLI00389,30,39,Premium,39.90,16,142,2,3.8,PIX,Mobile,0
CLI00390,56,36,basico,19.90,12,74,9,2.1,Credito,Tablet,0
CLI00391,46,14,basico,19.90,75,152,3,1.4,Credito,mobile,0
CLI00392,39,37,Básico,19.90,10,127,3,0.9,"Cartão de Crédito",Mobile,1
CLI00393,53,44,PREMIUM,39.90,26,188,2,4.9,Débito,mobile,0
CLI00394,26,46,Básico,19.90,14,25,1,0.9,Débito,Mobile,1
CLI00395,23,53,basico,19.90,0,11,9,2.9,PIX,Tablet,1
CLI00396,46,17,Básico,19.90,91,25,9,2.3,Boleto,tv,0
CLI00397,38,41,basico,19.90,38,113,7,2.4,PIX,Desktop,1
CLI00398,44,22,Padrão,29.90,41,151,6,3.7,PIX,Desktop,1
CLI00399,35,53,Padrão,29.90,74,141,1,4.4,"Cartão de Crédito",mobile,1
CLI00400,33,57,Básico,19.90,88,138,4,2.2,"Cartão de Crédito",mobile,0
CLI00401,52,33,Premium,39.90,49,33,1,4.3,"Cartão de Crédito",Mobile,0
CLI00402,19,50,basico,19.90,44,114,7,2.2,PIX,tv,0
CLI00403,,1,Básico,,86,123,0,2.1,Débito,TV,1
CLI00404,70,42,basico,19.90,10,33,3,2.9,,tv,0
CLI00405,22,49,basico,19.90,49,164,8,0.7,Credito,Desktop,1
CLI00406,34,26,Padrão,29.90,59,124,4,3.1,Boleto,Tablet,0
CLI00407,69,7,basico,19.90,55,135,0,1.4,PIX,Mobile,1
CLI00408,24,18,Básico,19.90,2,185,7,1.4,"Cartão de Crédito",tv,1
CLI00409,45,17,Padrão,29.90,4,46,8,1.6,,Tablet,1
CLI00410,25,55,PREMIUM,39.90,69,72,0,0.5,,Mobile,0
CLI00411,70,22,Básico,19.90,69,14,0,2.2,"Cartão de Crédito",mobile,0
CLI00412,69,48,Premium,39.90,12,60,2,4.7,,mobile,0
CLI00413,77,26,Premium,39.90,75,165,3,2.4,PIX,Desktop,0
CLI00414,48,44,Básico,19.90,59,74,1,4.0,Boleto,Desktop,0
CLI00415,29,22,Premium,39.90,33,129,2,1.8,,Desktop,0
CLI00416,66,10,Padrão,29.90,40,67,6,2.6,,Tablet,0
CLI00417,49,44,Premium,39.90,3,23,1,4.6,Boleto,TV,1
CLI00418,70,48,Premium,39.90,32,170,3,3.7,PIX,TV,0
CLI00419,43,31,PREMIUM,39.90,56,61,4,1.8,,mobile,0
CLI00420,61,54,Básico,19.90,69,83,6,2.8,,Tablet,0
CLI00421,18,16,basico,19.90,39,132,7,1.7,Débito,Tablet,1
CLI00422,48,42,basico,19.90,28,85,4,3.8,Boleto,Tablet,0
CLI00423,44,26,Básico,19.90,71,111,2,4.2,"Cartão de Crédito",Tablet,0
CLI00424,19,14,Padrão,29.90,83,166,2,4.3,Credito,Desktop,1
CLI00425,18,37,basico,19.90,5,32,5,1.3,Boleto,Tablet,1
CLI00426,77,50,Premium,39.90,94,176,7,0.2,PIX,Tablet,0
CLI00427,26,1,Premium,39.90,66,43,7,3.1,Débito,Tablet,0
CLI00428,24,32,basico,19.90,37,31,9,2.5,Débito,Mobile,0
CLI00429,57,30,PREMIUM,39.90,58,84,7,2.4,Boleto,Desktop,0
CLI00430,55,42,Básico,19.90,40,50,5,2.4,Boleto,Desktop,0
CLI00431,39,1,Básico,19.90,90,163,4,0.6,"Cartão de Crédito",mobile,0
CLI00432,43,33,Padrão,29.90,83,124,8,2.3,Débito,Desktop,1
CLI00433,64,44,Premium,39.90,28,167,1,0.8,,Tablet,0
CLI00434,47,51,Premium,39.90,40,130,9,4.6,Débito,Desktop,0
CLI00435,28,39,Premium,39.90,23,31,4,2.0,Débito,tv,0
CLI00436,71,18,Premium,39.90,23,114,4,3.5,Credito,Desktop,1
CLI00437,42,57,Padrão,29.90,84,104,4,1.5,"Cartão de Crédito",tv,0
CLI00438,74,6,Padrão,29.90,4,29,4,4.0,,Mobile,0
CLI00439,57,1,basico,19.90,45,12,8,0.7,PIX,Mobile,1
CLI00440,24,8,PREMIUM,39.90,85,36,4,4.4,PIX,Mobile,1
CLI00441,18,57,PREMIUM,39.90,4,162,1,3.7,Débito,TV,0
CLI00442,51,39,PREMIUM,39.90,40,106,3,2.4,Débito,mobile,0
CLI00443,59,49,basico,19.90,81,69,9,3.3,Credito,Mobile,0
CLI00444,29,30,PREMIUM,39.90,37,177,8,1.5,Credito,Mobile,0
CLI00445,40,14,PREMIUM,39.90,86,102,7,1.7,"Cartão de Crédito",TV,0
CLI00446,20,13,Padrão,29.90,20,128,1,1.1,,tv,0
CLI00447,50,46,PREMIUM,39.90,8,182,0,1.2,,Desktop,1
CLI00448,63,46,Padrão,29.90,72,181,7,0.6,Boleto,Desktop,0
CLI00449,22,21,basico,19.90,14,112,8,4.5,"Cartão de Crédito",Mobile,1
CLI00450,72,9,Básico,19.90,47,97,4,0.5,Credito,Desktop,0
CLI00451,52,31,PREMIUM,39.90,52,92,7,4.0,Boleto,Desktop,0
CLI00452,67,13,basico,19.90,11,30,4,3.6,,Desktop,1
CLI00453,62,1,Premium,39.90,97,73,0,4.9,Boleto,Tablet,1
CLI00454,48,9,PREMIUM,39.90,85,29,6,0.2,Débito,mobile,1
CLI00455,32,46,Padrão,29.90,10,42,4,2.0,PIX,TV,1
CLI00456,32,3,Padrão,29.90,96,27,8,4.7,"Cartão de Crédito",tv,1
CLI00457,35,8,Premium,39.90,25,66,6,4.3,Débito,Desktop,0
CLI00458,22,23,PREMIUM,39.90,39,67,3,0.6,PIX,Desktop,0
CLI00459,70,38,Premium,39.90,70,105,5,1.2,Débito,mobile,1
CLI00460,30,44,PREMIUM,39.90,23,129,1,4.0,Boleto,Mobile,0
CLI00461,72,35,Padrão,29.90,93,124,9,3.5,Credito,tv,0
CLI00462,37,20,PREMIUM,39.90,76,108,6,4.7,Boleto,Mobile,0
CLI00463,35,21,PREMIUM,39.90,56,130,8,2.8,"Cartão de Crédito",tv,1
CLI00464,58,60,PREMIUM,39.90,3,80,2,3.9,Credito,Mobile,1
CLI00465,46,17,basico,19.90,47,149,7,1.9,Débito,mobile,1
CLI00466,44,14,basico,19.90,94,29,8,4.6,,Tablet,0
CLI00467,58,2,PREMIUM,39.90,74,56,0,2.5,"Cartão de Crédito",Tablet,0
CLI00468,28,44,PREMIUM,39.90,15,50,0,1.4,Credito,Desktop,0
CLI00469,54,4,Básico,19.90,78,70,1,3.9,,Desktop,0
CLI00470,28,30,PREMIUM,39.90,83,102,1,4.0,Credito,Mobile,0
CLI00471,34,25,Básico,19.90,27,167,8,4.6,Credito,tv,0
CLI00472,62,50,Padrão,29.90,87,168,8,4.3,"Cartão de Crédito",tv,1
CLI00473,76,1,Premium,39.90,60,172,0,2.6,Débito,Desktop,1
CLI00474,21,2,PREMIUM,39.90,59,56,7,4.1,Boleto,Tablet,0
CLI00475,50,24,Básico,19.90,46,42,5,3.5,Credito,Mobile,0
CLI00476,26,42,Básico,19.90,32,132,3,2.5,Credito,Tablet,1
CLI00477,49,29,Básico,19.90,40,101,1,3.5,,Mobile,0
CLI00478,61,26,basico,19.90,57,95,2,2.9,Débito,mobile,0
CLI00479,52,59,basico,19.90,62,134,8,3.1,Credito,Tablet,0
CLI00480,76,31,Premium,39.90,44,106,5,0.8,Credito,Desktop,1
CLI00481,72,29,PREMIUM,39.90,85,67,0,1.1,Credito,TV,0
CLI00482,35,37,Padrão,29.90,85,31,2,4.4,Credito,Tablet,0
CLI00483,33,24,basico,19.90,71,44,2,0.5,Credito,mobile,1
CLI00484,35,34,Premium,39.90,38,130,5,1.7,PIX,mobile,0
CLI00485,29,55,Padrão,29.90,40,82,5,3.5,Débito,Mobile,0
CLI00486,19,60,PREMIUM,39.90,39,174,5,4.4,Débito,tv,0
CLI00487,51,28,Padrão,29.90,30,85,6,3.1,Credito,Mobile,1
CLI00488,36,60,Premium,39.90,73,175,2,0.2,"Cartão de Crédito",Desktop,0
CLI00489,46,5,Básico,19.90,11,45,5,0.3,Débito,TV,1
CLI00490,68,1,basico,19.90,43,26,8,4.0,Credito,mobile,1
CLI00491,70,32,Básico,19.90,89,174,3,1.6,Débito,Tablet,0
CLI00492,35,30,PREMIUM,39.90,66,135,6,3.8,,Desktop,0
CLI00493,23,53,basico,19.90,89,41,6,4.6,,Tablet,0
CLI00494,38,47,PREMIUM,39.90,46,50,6,4.1,PIX,Mobile,0
CLI00495,39,50,basico,19.90,2,57,7,2.1,"Cartão de Crédito",Tablet,1
CLI00496,36,55,PREMIUM,39.90,11,81,9,2.3,,Mobile,1
CLI00497,34,58,Premium,39.90,26,47,5,1.6,Credito,tv,0
CLI00498,53,57,Padrão,29.90,73,112,4,0.1,Credito,Mobile,1
CLI00499,55,34,PREMIUM,39.90,93,181,0,0.0,Débito,TV,1
CLI00500,65,50,PREMIUM,39.90,67,189,4,4.6,Credito,Tablet,1
CLI00501,21,5,basico,19.90,14,51,5,2.4,Débito,tv,1
CLI00502,46,38,Premium,39.90,65,29,6,3.8,"Cartão de Crédito",mobile,1
CLI00503,,47,basico,19.90,55,106,,4.9,Débito,TV,0
CLI00504,38,7,PREMIUM,39.90,58,140,8,1.2,"Cartão de Crédito",mobile,0
CLI00505,56,42,Premium,39.90,57,37,1,0.2,Débito,tv,0
CLI00506,25,12,PREMIUM,39.90,90,111,9,0.5,Boleto,TV,0
CLI00507,49,44,Premium,39.90,18,124,8,0.3,Débito,Mobile,0
CLI00508,43,51,Premium,39.90,45,91,1,4.6,"Cartão de Crédito",tv,0
CLI00509,39,50,Padrão,29.90,19,79,7,3.2,Boleto,TV,1
CLI00510,69,16,basico,19.90,57,64,9,0.4,Débito,TV,1
CLI00511,44,47,Padrão,29.90,21,133,0,4.0,PIX,mobile,0
CLI00512,19,48,Padrão,29.90,44,162,3,1.5,"Cartão de Crédito",Desktop,0
CLI00513,41,55,Padrão,29.90,85,50,1,4.4,,Mobile,0
CLI00514,66,29,Básico,19.90,98,16,2,2.3,,TV,0
CLI00515,66,19,PREMIUM,39.90,8,41,7,3.6,Boleto,TV,1
CLI00516,61,26,basico,19.90,16,27,7,4.5,"Cartão de Crédito",mobile,1
CLI00517,70,2,PREMIUM,39.90,61,61,3,1.1,PIX,Tablet,0
CLI00518,39,16,basico,19.90,19,95,3,4.8,Credito,Mobile,1
CLI00519,27,49,Premium,39.90,85,57,8,3.8,,Tablet,1
CLI00520,36,25,Básico,19.90,34,34,2,2.2,PIX,mobile,0
CLI00521,75,26,basico,19.90,25,119,4,2.1,Credito,mobile,1
CLI00522,51,52,PREMIUM,39.90,89,124,8,0.5,Débito,Desktop,0
CLI00523,48,37,Premium,39.90,91,127,5,3.2,Débito,mobile,1
CLI00524,23,52,Básico,19.90,89,27,1,4.8,Credito,mobile,0
CLI00525,63,48,Básico,19.90,98,39,3,0.4,Credito,TV,0
CLI00526,56,37,basico,19.90,91,24,4,4.9,Débito,Mobile,0
CLI00527,31,38,Padrão,29.90,29,187,9,4.4,Credito,Mobile,0
CLI00528,74,33,Básico,19.90,48,80,9,4.7,"Cartão de Crédito",Mobile,0
CLI00529,25,43,PREMIUM,39.90,85,187,4,1.8,Boleto,Tablet,0
CLI00530,71,24,PREMIUM,39.90,9,171,3,0.4,Credito,mobile,0
CLI00531,51,13,PREMIUM,39.90,38,93,0,4.5,Credito,mobile,0
CLI00532,23,1,Básico,19.90,47,152,7,4.8,Débito,Mobile,1
CLI00533,75,53,PREMIUM,39.90,65,173,5,2.0,Débito,TV,1
CLI00534,48,26,Premium,39.90,26,138,4,3.4,Credito,Tablet,0
CLI00535,73,35,Premium,39.90,43,99,4,4.7,Débito,mobile,0
CLI00536,76,46,Básico,19.90,61,121,3,3.4,,Desktop,1
CLI00537,70,16,basico,19.90,89,130,0,0.5,,TV,0
CLI00538,51,27,PREMIUM,39.90,1,61,0,3.1,Credito,Mobile,0
CLI00539,21,13,Básico,19.90,17,157,7,0.2,,Desktop,1
CLI00540,19,41,Premium,39.90,71,126,8,0.6,Boleto,Desktop,0
CLI00541,35,18,PREMIUM,39.90,57,86,2,3.4,Débito,Tablet,0
CLI00542,37,48,Básico,19.90,67,179,8,3.2,Boleto,Mobile,1
CLI00543,29,30,Padrão,29.90,3,70,4,4.5,Boleto,TV,1
CLI00544,72,36,Básico,19.90,75,134,5,1.0,"Cartão de Crédito",Desktop,0
CLI00545,70,42,Básico,19.90,57,148,4,2.5,Boleto,Mobile,1
CLI00546,76,54,Premium,39.90,18,152,4,2.0,"Cartão de Crédito",Tablet,0
CLI00547,25,20,Premium,39.90,62,142,4,2.0,"Cartão de Crédito",TV,0
CLI00548,27,5,Básico,19.90,49,171,2,1.1,Débito,mobile,1
CLI00549,65,47,Premium,39.90,58,188,5,1.5,"Cartão de Crédito",Tablet,0
CLI00550,43,58,Padrão,29.90,58,12,0,4.7,,tv,0
CLI00551,34,5,Padrão,29.90,98,27,9,4.9,"Cartão de Crédito",Mobile,1
CLI00552,68,21,Premium,39.90,42,68,2,1.1,"Cartão de Crédito",Mobile,0
CLI00553,65,6,Padrão,29.90,46,134,7,4.6,Débito,Mobile,1
CLI00554,76,18,Padrão,29.90,74,97,6,1.2,"Cartão de Crédito",TV,1
CLI00555,33,53,Padrão,29.90,5,170,5,3.5,PIX,Mobile,1
CLI00556,77,26,Básico,19.90,16,48,8,4.4,Credito,TV,0
CLI00557,26,37,Básico,19.90,2,136,1,3.7,,TV,1
CLI00558,70,1,Básico,19.90,74,78,2,0.4,,TV,1
CLI00559,61,52,basico,19.90,8,74,6,1.2,"Cartão de Crédito",Tablet,0
CLI00560,64,43,Padrão,29.90,78,70,9,1.6,Credito,Desktop,0
CLI00561,26,12,basico,19.90,48,171,8,0.9,Boleto,Tablet,1
CLI00562,72,14,PREMIUM,39.90,83,50,8,1.6,Débito,Mobile,0
CLI00563,27,37,PREMIUM,39.90,68,78,1,1.2,Boleto,mobile,0
CLI00564,29,42,basico,19.90,33,100,1,0.4,PIX,Tablet,0
CLI00565,50,52,PREMIUM,39.90,25,24,7,0.5,Credito,tv,1
CLI00566,69,11,Premium,39.90,92,94,5,2.0,Boleto,TV,0
CLI00567,24,26,Premium,39.90,57,145,0,1.7,Credito,TV,1
CLI00568,74,20,basico,19.90,96,28,4,2.7,Credito,TV,0
CLI00569,71,1,PREMIUM,39.90,48,35,5,4.6,Débito,Mobile,1
CLI00570,40,28,Padrão,29.90,23,148,8,0.4,Débito,mobile,1
CLI00571,61,15,Básico,19.90,18,128,8,0.8,Débito,mobile,1
CLI00572,22,47,Padrão,29.90,88,175,7,4.1,"Cartão de Crédito",mobile,1
CLI00573,76,35,Padrão,29.90,2,89,9,4.3,Credito,Tablet,1
CLI00574,49,40,Padrão,29.90,93,85,7,0.3,PIX,tv,0
CLI00575,48,7,Premium,39.90,1,184,5,4.3,Boleto,Tablet,1
CLI00576,30,8,Básico,19.90,27,139,7,4.0,Credito,Desktop,0
CLI00577,75,1,Básico,19.90,37,138,7,1.2,PIX,Desktop,1
CLI00578,18,21,Padrão,29.90,2,185,0,0.7,,Mobile,0
CLI00579,58,7,Básico,19.90,26,107,7,3.7,Credito,Tablet,0
CLI00580,70,15,Premium,39.90,13,131,3,3.9,Débito,mobile,1
CLI00581,29,48,Padrão,29.90,16,98,9,2.5,Boleto,Desktop,1
CLI00582,45,53,basico,19.90,29,98,7,2.1,Boleto,Mobile,0
CLI00583,37,52,Básico,19.90,95,37,2,1.1,Credito,tv,0
CLI00584,22,34,PREMIUM,39.90,22,35,2,4.0,Débito,mobile,0
CLI00585,39,41,Básico,19.90,68,13,2,3.0,,TV,0
CLI00586,64,38,Premium,39.90,51,52,5,4.0,,Tablet,1
CLI00587,45,6,PREMIUM,39.90,51,18,3,4.0,"Cartão de Crédito",Mobile,0
CLI00588,62,20,PREMIUM,39.90,9,86,,0.7,Débito,TV,1
CLI00589,55,29,PREMIUM,39.90,82,187,3,0.9,PIX,TV,0
CLI00590,44,44,Padrão,29.90,63,24,9,0.5,,mobile,1
CLI00591,34,60,Padrão,29.90,68,156,5,2.5,Débito,tv,0
CLI00592,40,49,basico,19.90,42,172,8,4.6,Boleto,TV,0
CLI00593,21,49,Premium,39.90,31,162,0,4.2,"Cartão de Crédito",Tablet,0
CLI00594,44,16,Básico,19.90,84,134,3,4.2,,Desktop,0
CLI00595,63,33,basico,19.90,24,158,8,0.7,PIX,TV,0
CLI00596,44,57,PREMIUM,39.90,77,63,7,4.6,Credito,Tablet,1
CLI00597,50,44,Premium,39.90,19,109,2,3.0,"Cartão de Crédito",Tablet,0
CLI00598,49,51,Básico,19.90,80,101,2,0.3,Débito,mobile,0
CLI00599,19,53,Premium,39.90,83,64,3,2.5,Débito,tv,1
CLI00600,19,31,Básico,19.90,89,85,9,1.3,Credito,Desktop,0
CLI00601,45,10,Premium,39.90,27,98,1,2.1,Boleto,tv,1
CLI00602,69,58,Padrão,29.90,59,133,9,0.3,Credito,Desktop,1
CLI00603,62,43,basico,19.90,80,122,8,3.2,,TV,0
CLI00604,25,30,PREMIUM,39.90,81,144,5,4.7,Credito,Tablet,0
CLI00605,65,8,Padrão,29.90,74,125,2,4.1,,TV,0
CLI00606,35,53,PREMIUM,39.90,54,78,5,3.1,,tv,0
CLI00607,73,18,basico,19.90,66,119,9,5.0,PIX,tv,1
CLI00608,39,43,Premium,39.90,84,125,5,0.9,Boleto,tv,0
CLI00609,29,37,Básico,19.90,16,32,3,1.5,Boleto,Tablet,1
CLI00610,63,55,Básico,,13,172,,4.7,Credito,Mobile,0
CLI00611,63,31,Padrão,29.90,96,84,8,2.3,PIX,Tablet,1
CLI00612,61,4,Básico,19.90,1,27,9,1.5,Boleto,Desktop,1
CLI00613,30,45,Padrão,29.90,86,25,9,3.5,"Cartão de Crédito",TV,0
CLI00614,71,11,Básico,19.90,30,146,6,1.7,Débito,TV,1
CLI00615,68,54,Básico,19.90,42,160,6,2.7,Credito,Tablet,0
CLI00616,45,18,Premium,39.90,96,61,7,2.9,Boleto,TV,0
CLI00617,23,10,basico,19.90,3,130,0,3.7,"Cartão de Crédito",tv,1
CLI00618,56,56,PREMIUM,39.90,27,188,4,2.9,PIX,tv,1
CLI00619,49,60,basico,19.90,86,91,1,4.7,"Cartão de Crédito",Desktop,0
CLI00620,64,13,PREMIUM,39.90,91,50,9,4.7,Boleto,Desktop,0
CLI00621,28,57,PREMIUM,39.90,44,101,3,3.2,"Cartão de Crédito",tv,0
CLI00622,42,40,PREMIUM,39.90,93,25,7,2.1,Débito,Mobile,0
CLI00623,62,48,PREMIUM,39.90,27,100,0,1.1,"Cartão de Crédito",Tablet,0
CLI00624,52,16,PREMIUM,39.90,23,100,1,4.7,Débito,mobile,0
CLI00625,40,31,Padrão,29.90,0,138,0,2.0,Credito,mobile,1
CLI00626,28,14,Premium,39.90,92,181,7,0.0,"Cartão de Crédito",Tablet,1
CLI00627,46,40,PREMIUM,39.90,85,124,1,2.6,"Cartão de Crédito",TV,0
CLI00628,42,39,Premium,39.90,63,90,0,0.4,Débito,mobile,0
CLI00629,31,4,basico,19.90,72,144,9,3.1,Credito,tv,1
CLI00630,21,36,Padrão,29.90,43,174,2,2.7,Boleto,mobile,1
CLI00631,70,3,basico,19.90,37,110,9,3.3,"Cartão de Crédito",tv,1
CLI00632,73,33,Premium,39.90,95,33,5,0.1,,tv,0
CLI00633,73,19,basico,19.90,19,127,5,0.7,PIX,Desktop,1
CLI00634,50,5,Premium,39.90,41,147,7,2.5,Débito,Desktop,0
CLI00635,48,11,basico,19.90,79,115,5,2.3,Credito,Tablet,0
CLI00636,54,55,Padrão,29.90,26,51,9,0.1,PIX,Tablet,1
CLI00637,29,5,basico,19.90,73,148,5,3.3,Débito,Desktop,1
CLI00638,33,24,PREMIUM,39.90,35,179,0,1.0,,TV,1
CLI00639,33,35,Padrão,29.90,99,78,0,1.1,Débito,TV,0
CLI00640,33,52,basico,19.90,99,95,2,1.7,PIX,Tablet,0
CLI00641,27,3,basico,19.90,96,147,1,0.0,Boleto,tv,1
CLI00642,36,17,PREMIUM,39.90,25,47,5,2.8,PIX,tv,0
CLI00643,35,8,Padrão,29.90,4,43,2,2.2,,mobile,1
CLI00644,28,48,Básico,,34,152,0,2.7,,Desktop,0
CLI00645,27,29,Padrão,29.90,42,187,0,0.3,PIX,tv,0
CLI00646,43,17,PREMIUM,39.90,60,32,8,4.8,Débito,Mobile,0
CLI00647,52,40,Básico,19.90,14,33,9,1.5,Boleto,TV,1
CLI00648,74,50,Básico,19.90,9,89,8,2.5,Credito,Desktop,1
CLI00649,47,29,basico,19.90,68,50,1,2.0,PIX,Tablet,0
CLI00650,54,51,PREMIUM,39.90,91,141,1,1.6,"Cartão de Crédito",Mobile,0
CLI00651,21,27,Padrão,29.90,78,70,7,4.4,Credito,Mobile,0
CLI00652,36,NaN,Padrão,29.90,49,165,,1.8,PIX,Tablet,1
CLI00653,40,56,Básico,19.90,72,88,4,3.0,PIX,Tablet,0
CLI00654,72,17,Premium,39.90,88,148,6,4.7,Credito,Mobile,1
CLI00655,21,51,Premium,39.90,76,30,3,2.8,PIX,mobile,0
CLI00656,49,47,Básico,19.90,73,118,4,3.4,Boleto,TV,0
CLI00657,69,59,basico,19.90,4,173,6,0.4,Débito,mobile,1
CLI00658,29,38,PREMIUM,39.90,17,85,8,2.1,,TV,1
CLI00659,75,44,Básico,19.90,33,54,9,0.5,Credito,Desktop,1
CLI00660,25,2,PREMIUM,39.90,85,53,8,4.7,"Cartão de Crédito",Mobile,1
CLI00661,21,8,Básico,19.90,95,18,6,4.3,Credito,Tablet,0
CLI00662,77,29,Premium,39.90,89,120,3,4.7,PIX,tv,0
CLI00663,23,23,Básico,19.90,98,187,3,3.1,,Mobile,0
CLI00664,51,50,Premium,39.90,55,56,1,4.1,Débito,mobile,0
CLI00665,24,38,Padrão,29.90,53,61,5,3.8,,Mobile,0
CLI00666,58,36,Padrão,29.90,19,29,2,3.8,,TV,1
CLI00667,45,4,Básico,19.90,83,73,8,0.8,PIX,Desktop,0
CLI00668,38,26,PREMIUM,39.90,17,26,4,2.6,"Cartão de Crédito",mobile,0
CLI00669,61,11,Básico,19.90,97,117,1,4.7,Débito,Tablet,0
CLI00670,37,46,Padrão,29.90,53,153,4,3.6,Credito,TV,1
CLI00671,29,19,Padrão,29.90,11,88,4,2.4,,tv,1
CLI00672,21,15,Básico,19.90,37,172,5,1.8,,Tablet,1
CLI00673,64,60,PREMIUM,39.90,63,47,3,1.0,Débito,Mobile,0
CLI00674,51,36,basico,19.90,39,109,1,4.9,PIX,tv,0
CLI00675,62,43,Básico,19.90,37,45,5,1.4,PIX,Mobile,0
CLI00676,51,30,Padrão,29.90,15,132,0,4.6,Credito,mobile,0
CLI00677,21,19,Básico,19.90,33,116,8,2.7,Boleto,Desktop,0
CLI00678,68,59,Padrão,29.90,51,105,4,4.4,,TV,0
CLI00679,24,44,Básico,19.90,38,102,8,3.8,Débito,mobile,0
CLI00680,25,29,Padrão,29.90,98,115,4,2.0,Débito,Tablet,1
CLI00681,39,59,Padrão,29.90,66,26,2,4.5,,Tablet,0
CLI00682,24,25,PREMIUM,39.90,88,170,2,3.5,"Cartão de Crédito",mobile,0
CLI00683,69,41,PREMIUM,39.90,32,63,4,0.7,"Cartão de Crédito",Mobile,0
CLI00684,26,26,Premium,39.90,0,93,3,1.1,PIX,TV,1
CLI00685,32,7,Padrão,29.90,57,45,7,4.6,,TV,0
CLI00686,73,17,Premium,39.90,8,44,7,0.6,Débito,Desktop,1
CLI00687,42,38,Premium,39.90,65,69,3,3.3,Boleto,mobile,0
CLI00688,37,29,PREMIUM,39.90,31,151,2,2.8,"Cartão de Crédito",Tablet,0
CLI00689,23,41,Padrão,29.90,37,146,9,0.8,"Cartão de Crédito",Tablet,0
CLI00690,27,26,Padrão,29.90,66,110,4,4.6,PIX,tv,0
CLI00691,76,13,Básico,19.90,35,67,9,1.4,PIX,mobile,1
CLI00692,32,26,Padrão,29.90,13,140,8,3.5,Débito,tv,1
CLI00693,69,59,PREMIUM,39.90,61,179,8,1.5,"Cartão de Crédito",Tablet,0
CLI00694,37,14,Básico,19.90,32,104,6,3.0,,Desktop,0
CLI00695,32,51,PREMIUM,39.90,80,70,1,2.5,Credito,Tablet,0
CLI00696,32,24,Premium,39.90,20,116,7,4.5,PIX,TV,1
CLI00697,19,60,PREMIUM,39.90,14,49,5,2.9,,Desktop,0
